Exercise Number,Task,Stage,Circumstance,Benefits,Why,
0.1,Choosing a noble pro-social goal,To be done as early as possible,"At all times, the user should be mindful of their noble goal",Gives focus and incentive,Having a noble goal gives focus and meaning in life,
0.2,"Proper sleep
8 hours a night",All times,Any circumstance,Allows adequate rest for the mind and best conditions for emotion management,"Without proper sleep, managing emotions becomes much more difficult",
0.3,"Good diet, reducing sugar and saturated fat",All times,Any circumstance,"Keeps the body healthy, the best conditions for a healthy mind",Unhealthy diet leads to physical deterioration with great impact on the mind,
0.4,Physical exercise at least 30 min a day,Every day,When upset with negative emotions,Keeps body and mind healthy, when upset with negative emotions  this is an effective way to regulate emotions,
1,Basic interaction with childhood self and early memories and emotions,Beginning,At the outset of the SAT course,Connecting with your childhood self,Lack of connection with childhood self means lack of understanding and awareness of our emotions,
2a,Enhancing positive emotions of our childhood self,Beginning,At the outset of the SAT course,Learning to increase positive emotions,Increasing positive emotions is crucial to keep our mind healthy,
2b,Reducing negative emotions of your childhood self,Beginning,At the outset of the SAT course,Learning to  reduce negative emotions,Our own ability to reduce our negative emotions produces independence and agency ,
3,Singing a love/jolly song to our childhood self,All times,"Any circumstance, under both positive and negative emotions","It enhances positive emotions, reduces negative emotions and regulates strong emotions",Singing aloud a jolly/love song is proven to enhance our joy and wellbeing,
4,Expressing love and care for our childhood self,All times,"In the beginning of the SAT course, and later on until the bond with the childhood self is established and consolidated",It allows us to independently look after yourself rather than be dependent on others for care. ,We are very well capable to look after ourself but need to practice this until we become strong and independent. ,
5,Vowing to look after our childhood self,In the beginning and later on until the vow becomes ingrained on our mind,In the beginning of the SAT course and whenever we feel upset and helpless,"By this vow, we always remind ourself to look after our childhood self, namely ourself even in emotionally difficult and challenging situations.",The vow enables us to mobilise our inner resources to be able to face all challenges. ,
6,Building a safe  home for your inner emotional world ,Throughout the SAT course and in all circumstances,Whenever you feel like doing an artistic work,Imaginative creation of a solid and stable home for our inner emotional world provides us with the feeling of safety ,We all need to feel secure in challenging circumstances and a safe imaginative home provides a secure attachment object,
7a,Maintaining a loving relationship with our child,Throughout the SAT course and in all circumstances,Under any circumstance ,Having love and compassion for our child enhances positive self-image and self-love and self compassion,Self-love and self-compassion are both crucial for our mental health,
7b,Creating zest for life,Throughout the SAT course and in all circumstances,Under any circumstance ,Enjoying zest for life keeps our spirits high ,Zest for life immunised us against mental problems,
8a,Bonding with Nature,Any stage,Under any circumstance ,Enjoying and having a passion for Nature is healing and boosts our spirits ,We need inner resources to tackle our emotional problems and having a bond with Nature empowers us for emotion management and regulation,
8b,Creating a stable attachment object from our childhood photo by projecting or imagining it on objects around us,Intermediate stage. After three weeks of SAT practice. ,Under any circumstance. With either positive or negative emotions.  ,It provides a stable and secure attachment object supporting us in difficult circumstances and emotionally challenging situations ,"We all need a safe a secure attachment object which can be internalised after interacting with it for a long time. This exercise allows us to create such an object for ourselves. While initially our adult self supported our childhood self as represented by our childhood photo or avatar, this exercise can potentially create a stable and secure attachment object for us, supporting us when we need protection. Thus, the role of care-seeker and caregiver is reversed. ",
9,Overcoming current negative emotions,Intermediate stage. After three weeks of SAT practice. ,Whenever facing an emotional upset or problem,We will be able to comfort ourself in the face of  upsets and emotionally difficult situations. ,We all need to overcome our negative emotions to be able to function well. this exercise will enable us to look after ourself and create agency and be independent. ,
10,Overcoming past trauma and pain,"Intermediate stage. After practicing SAT for at least three weeks. Exercise 9 should have been conducted first several times to have gained confidence before considering to attempt exercise 10 on childhood trauma. In the case of serious childhood trauma, the user should have first talked about the trauma with friends, family orl mental health professions, i.e., counsellors or therapists. ",This exercise should only be conducted in relation to serious childhood trauma when the user has already experienced the positive benefits of exercise 9 for current emotional problems and feels confident to tackle childhood trauma.,"Resolving childhood pain and trauma releases us from being stuck in our past and having emotional baggage in life. It will resolve un-processed past anger, bitterness, shame, guilt and humiliation.  It will generate new energy in our life making us forward looking rather than leaning backward. ",Unresolved past pain and trauma imposes a heavy toll on our emotional life and mental health. It keeps us down and immersed in the chaos of past negative emotions and affects. It means we feel imprisoned in our past and unable to free ourself from its influence on ourself. ,
11,Muscle relaxation and playful face for intentional laughing,Any stage,"Early in the morning, as well as any other time you have for laughter training","By relaxing your facial muscles and adopting a playful face, we can practice to take it easy and be prepared to see the funny side of life in all circumstances","Life is full of suffering, but we need to celebrate and enjoy  it despite the suffering, which would in turn allow us to tackle our problems more effectively. To achieve this, we need to train ourself to relax our facial muscles and be able to in a physically playful mode at all times. This exercise is in line with the evolutionary theory of humour/laughter.  ",
12,Victory laughter on our own,Any stage,"After doing any routine task like washing up, clearning, shopping etc. ","It gives us a boost in joyfulness and positive emotions for accomplishing anything routine and mundane, however small. ","We need to take life easy whenever we can to raise our spirits when possible to create a rich resource for tackling difficult problems in life. This exercise is in line with evolutionary theory, incongruity theory and superiority theory of humour and laughter. ",
13,Laughing with our childhood self,Any stage,Whenever we see our childhood photo or avatar. Wherever we would like to raise our spirit. ,It will give us a boost of positive energy and spirit. It will strengthen the connection and bond with our childhood self. It provides self-love and self-compassion. ,"We need to create positive inner resources to tackle life challenges. This simple exercise gives us a simple positive  inner resources. This exercise is in line with the evolutionary theory, incongruity theory and superiority theory of humour and laughter. ",
14,Intentional laughter: Creating your brand of laughter,Any stage,Whenever we have time and would like to practise our laughter and humour skills.,"By intentionally laughing, we empower ourself to be happy at any time and thus be able to manage and regulate our emotions. This exercise is in line with the evolutionary theory, incongruity theory and superiority of humour.  ","People are happy because they laugh, not the other way round. This means we need to practice laughter, even intentional laughter, to ensure being happy.",
15,Learning to change your perspective,Advanced stage,Whenever you can detect yourself to have a deep held belief or a well established perspective or view of someone or something.,"You would become less rigid and more flexible in your thinking and thus in tackling problems. By changing your perspective, you give yourself more scope for creative solutions to problems.  ","Being rigid and inflexible in our thoughts, beliefs and behaviour will make us repeat mistakes and sub-optimal cognitive, emotional  and behavioural prototypes. It prevents us from seeing things from new perspectives and limits our creativity which depends on examining a subject from multiple different angles. . ",
16a,Learning to be playful about your pains in recent past,Advanced stage. This exercise is an advanced version of exercise 9.,"After the initial reaction, initial upset or initial shock of a sad, terrible, or dreadful event, and after assimilating the reality of the painful event, one can distance oneself emotionally from it and see its funny side. ","Being able to see the funny side of everything, including your recent pains, would enhance your positive emotions, enable you to manage your emotions and become more resilient in the face of adversaries.  ","Life is full of pain and suffering, but to have a good mental health we need to arm ourselves with tools to enhance our resilience to counter setbacks and pain. ",
16b,Learning to be playful about your pains in distant past,Advanced stage. This exercise is an advanced version of exercise 10.,"After you have done exercises 9, 10 and 16a, you can embark on this exercise. ",To be able to laugh at past trauma heralds a complete resolution of the trauma which is welcomed as it relieves us from the burden of the past pain and all the conflicting negative emotions that go with it. ,Life is too short and we do not want to get stuck in our past pains. It is best to be able to reprocess the past emotionally by giving your childhood self support and come to a resolution and then laugh it off. ,
Exercise 17: ,Identifying patterns of acting out personal resentments,"Advanced stage. This exercise should be conducted after repeated practice of previous exercises, in particular after positive attempts to resolve old pains and taumas.","Whenever you detect negative emotions against someone or something, you can reflect back to delve into its origin and see if it is based on some anti-social tendencies in yourself. ","Giving up antisocial tendencies will enhance your positive emotions and energy, leading to enhanced mental health and creativity.  ","Harbouring negative emotions against others and things in life keeps us down with less energy. It imprisons us into a negative framework of mind and feeling, which will affect all dimensions of our life. ",
Exercise 18,Planning more constructive actions,"Advanced stage. This exercise should be conducted after repeated practice of previous exercises, in particular after positive attempts to resolve old pains and taumas.","Whenever you detect negative emotions against someone or something, you can reflect back to consider how you can react in a more constructive way next time you have encountered these people or these things in life. ","Responding or reacting in a constructive manner when you are faced with emotional problems in regard to someone or something will retain your energy, make you more confident in solving problems and impact your mental health in a positive way. You would act like an adult and retain your wisdom and best features. ","Life is full of encounters with problematic individuals and issues. To keep responding in a non-constructive manner wastes your energy and time, and will not end the problem. Preparing a constructive response for any future problematic encounter will make you confident of tackling and overcoming the problematic relationship or things, It will keep you in a positive emotion and sound in your thoughts and words. ",
Exercise 19,Finding and bonding with your compassionate role model,Intermediate stage. It can be practiced after the core SAT exercises 1-10. ,It can be practiced whenever you are prepared to look for a compassionate role model in your life. ,"It gives you direction in life, so that you can remain self-compassionate and compassionate to others, It gives you a reference point that guides your in your decision making and behaviour in a constructive, pro-social and creative manner.","We all need role models to look up to and find the right way forward in life. In this day and age of our existential problems, a compassionate role model with a prosocial orientation is required to help us encounter these problems in a positive and collective manner. Without a positive role model, we can feel rudderless and lost in the maze of life challenges and difficulties.", 
